"TIMESTAMP"	"VWC_5cm"	"VWC_10cm"	"VWC_20cm"	"VWC_30cm"	"VWC_40cm"	"VWC_50cm"	"VWC_60cm"	"VWC_75cm"	"VWC_100cm"
"2025-04-23 21:30:00"	0.1191227	0.025876	0.1481026	0.1999128	0.2280679	0.2492618	0.2714238	0.2873337	0.3835664
"2025-04-23 21:45:00"	0.1170352	0.0263788	0.1489993	0.2001525	0.2294099	0.2509762	0.2705295	0.2872073	0.3845212
"2025-04-23 22:00:00"	0.1174021	0.0267088	0.1480381	0.1974268	0.22967	0.2509865	0.2708121	0.2854977	0.3847415
"2025-04-23 22:15:00"	0.1185013	0.0270727	0.1487585	0.1985162	0.229501	0.2539573	0.2694161	0.2875106	0.3858527
"2025-04-23 22:30:00"	0.1189781	0.0254611	0.1469478	0.1947806	0.2303678	0.2521383	0.2723001	0.2875974	0.3831393
"2025-04-23 22:45:00"	0.118448	0.0249889	0.1474573	0.1939406	0.2288884	0.2540662	0.2698492	0.286403	0.3846323
"2025-04-23 23:00:00"	0.1159386	0.0261289	0.1483988	0.1939546	0.232462	0.2526392	0.2706568	0.2867971	0.384648
"2025-04-23 23:15:00"	0.118447	0.0259727	0.1483229	0.1949167	0.2305267	0.2508022	0.2715861	0.2883939	0.3821718
"2025-04-23 23:30:00"	0.1198756	0.0257636	0.147347	0.1966671	0.2298676	0.2488792	0.2711397	0.2881244	0.3818947
"2025-04-23 23:45:00"	0.1201287	0.0244173	0.1478474	0.1971499	0.2300283	0.2524353	0.2706476	0.2862448	0.3845043
"2025-04-24 00:00:00"	0.1173417	0.0255279	0.1486001	0.1956519	0.230919	0.2513475	0.2709789	0.2877717	0.3834053
"2025-04-24 00:15:00"	0.1173072	0.0236144	0.1482834	0.1949368	0.2311738	0.2491995	0.2709582	0.2890249	0.3818775
"2025-04-24 00:30:00"	0.1179561	0.024417	0.1463362	0.1957404	0.2298938	0.2510813	0.2710647	0.2880561	0.3849757
"2025-04-24 00:45:00"	0.1203057	0.0247332	0.1490146	0.1962338	0.2289279	0.2513995	0.2702027	0.2905294	0.3833822
"2025-04-24 01:00:00"	0.1193876	0.024085	0.1480456	0.1968517	0.2275296	0.2528529	0.2710654	0.2858866	0.3840566
"2025-04-24 01:15:00"	0.1195413	0.0261521	0.1480314	0.1964297	0.2295056	0.2520232	0.271255	0.2887398	0.3850775
"2025-04-24 01:30:00"	0.1197415	0.026385	0.1477742	0.1966322	0.231329	0.2507843	0.2714414	0.288232	0.3810033
"2025-04-24 01:45:00"	0.1196956	0.0247203	0.1496127	0.1962392	0.2279674	0.2505334	0.2705722	0.2885928	0.3849779
"2025-04-24 02:00:00"	0.1197536	0.024493	0.1479001	0.1970796	0.227831	0.2507742	0.2720899	0.287717	0.3845253
"2025-04-24 02:15:00"	0.1193015	0.0254766	0.1496994	0.1964225	0.2312629	0.2538424	0.2711635	0.2888578	0.3836312
"2025-04-24 02:30:00"	0.1192563	0.0262588	0.1480203	0.1946929	0.2316198	0.2513241	0.2717282	0.2880687	0.381326
"2025-04-24 02:45:00"	0.1203509	0.0254824	0.1501929	0.1964991	0.2296468	0.2517463	0.2711173	0.2867577	0.3820052
"2025-04-24 03:00:00"	0.1172155	0.0256837	0.1478158	0.1964154	0.2292622	0.2506657	0.2714666	0.2870049	0.3829832
