"TIMESTAMP"	"VWC_5cm"	"VWC_10cm"	"VWC_20cm"	"VWC_30cm"	"VWC_40cm"	"VWC_50cm"	"VWC_60cm"	"VWC_75cm"	"VWC_100cm"
"2025-04-22 22:30:00"	0.0362909	0.0576002	0.1921695	0.2318295	0.2232853	0.329457	0.3553533	0.3794496	0.3775055
"2025-04-22 22:45:00"	0.0349074	0.0588088	0.1919108	0.2317076	0.2227774	0.3289172	0.3554951	0.3821646	0.3747684
"2025-04-22 23:00:00"	0.0350954	0.0586876	0.1928833	0.2298631	0.2237343	0.3289596	0.3560507	0.3785965	0.3756279
"2025-04-22 23:15:00"	0.0356855	0.0596187	0.1908465	0.2302687	0.2215562	0.327981	0.3545082	0.3809086	0.3744362
"2025-04-22 23:30:00"	0.0354766	0.0574918	0.1932918	0.229617	0.2212044	0.3277352	0.3569739	0.3794523	0.3748254
"2025-04-22 23:45:00"	0.0329219	0.0564426	0.1934455	0.231137	0.2201959	0.3294096	0.3548016	0.382172	0.3739478
"2025-04-23 00:00:00"	0.0354591	0.0571763	0.1924062	0.2299749	0.2172712	0.3285265	0.35453	0.3801466	0.3750573
"2025-04-23 00:15:00"	0.0365936	0.0567444	0.1912471	0.2315831	0.2192828	0.327545	0.3563104	0.3809862	0.374206
"2025-04-23 00:30:00"	0.0348827	0.0586932	0.1922848	0.2290528	0.2164238	0.3284864	0.3543419	0.3808234	0.3736912
"2025-04-23 00:45:00"	0.0339995	0.0593008	0.1912501	0.2291489	0.2176092	0.3305231	0.3546897	0.3810055	0.3748668
"2025-04-23 01:00:00"	0.0337043	0.0580714	0.1920663	0.2295633	0.2168267	0.3272255	0.3534062	0.3814662	0.3759491
"2025-04-23 01:15:00"	0.0361563	0.0569367	0.191189	0.2286211	0.2175259	0.3293587	0.3554914	0.3800988	0.3753057
"2025-04-23 01:30:00"	0.035662	0.0567078	0.1931756	0.2294211	0.2161356	0.3295725	0.3541947	0.3807744	0.3755482
"2025-04-23 01:45:00"	0.0355446	0.0549007	0.1939835	0.2299165	0.2182947	0.3273679	0.3546557	0.3800618	0.3749323
"2025-04-23 02:00:00"	0.034382	0.0596358	0.1922336	0.2310435	0.2158419	0.3269918	0.3540697	0.3812781	0.3758397
"2025-04-23 02:15:00"	0.034995	0.056576	0.1924858	0.2297413	0.2154069	0.3282104	0.3532744	0.3809129	0.3751356
"2025-04-23 02:30:00"	0.0342142	0.0558947	0.1908423	0.2299021	0.2154897	0.3290959	0.3531515	0.3824488	0.3744151
"2025-04-23 02:45:00"	0.0358148	0.0567794	0.1935543	0.228947	0.2161451	0.3295391	0.3555714	0.3809918	0.3747038
"2025-04-23 03:00:00"	0.0358642	0.0582818	0.1919339	0.2304153	0.2146949	0.3288741	0.3548764	0.3785569	0.3751644
"2025-04-23 03:15:00"	0.0343422	0.0582299	0.1924512	0.2311276	0.2157446	0.3307666	0.3544893	0.3835295	0.3768129
"2025-04-23 03:30:00"	0.0353786	0.0558404	0.1922684	0.2306014	0.2155955	0.3287233	0.3542602	0.378609	0.3758187
"2025-04-23 03:45:00"	0.0341099	0.0561945	0.193092	0.2293804	0.2147557	0.3298022	0.354205	0.3795517	0.3762581
"2025-04-23 04:00:00"	0.0350401	0.0584896	0.1932376	0.2303631	0.2147717	0.3284127	0.354769	0.3814053	0.3756346
"2025-04-23 04:15:00"	0.0354472	0.0577479	0.1930024	0.2303644	0.2133647	0.3291077	0.3545237	0.3796863	0.3748929
"2025-04-23 04:30:00"	0.0371904	0.0559543	0.1904822	0.2301091	0.2137616	0.3290901	0.3542319	0.381999	0.3746958
"2025-04-23 04:45:00"	0.0340088	0.056555	0.1910256	0.2309145	0.212328	0.327426	0.354849	0.3796819	0.3744347
"2025-04-23 05:00:00"	0.0350021	0.0588051	0.1920153	0.2287467	0.213354	0.3261216	0.3527266	0.3806249	0.3743044
"2025-04-23 05:15:00"	0.0349088	0.0580588	0.1918735	0.2292833	0.2126304	0.3302868	0.3554333	0.3809429	0.3759042
"2025-04-23 05:30:00"	0.034472	0.0585464	0.1914585	0.2292396	0.2116812	0.3287512	0.3540212	0.3793666	0.3743007
"2025-04-23 05:45:00"	0.0324835	0.0578716	0.1915358	0.2294365	0.2130967	0.3269136	0.3517231	0.3797983	0.3759226
"2025-04-23 06:00:00"	0.0372641	0.0561362	0.1903937	0.229111	0.2128195	0.3261696	0.3514588	0.3804122	0.3753299
"2025-04-23 06:15:00"	0.038176	0.0573184	0.192296	0.2317388	0.2122878	0.3278004	0.3530611	0.3807085	0.3746552
"2025-04-23 06:30:00"	0.0354822	0.0587286	0.1913785	0.230382	0.2117237	0.3301632	0.3534404	0.3808583	0.3735015
"2025-04-23 06:45:00"	0.0355016	0.056675	0.191076	0.2300875	0.2125576	0.3285552	0.3545765	0.3799653	0.3742267
"2025-04-23 07:00:00"	0.0351336	0.0574122	0.1919734	0.2289284	0.2115991	0.3287494	0.3549194	0.380299	0.3725958
"2025-04-23 07:15:00"	0.0353398	0.0571024	0.1932304	0.2301275	0.2140571	0.3274526	0.3541793	0.3785677	0.374574
"2025-04-23 07:30:00"	0.0353648	0.0569618	0.1925349	0.2276388	0.2141746	0.3285473	0.3549078	0.3801692	0.3751304
"2025-04-23 07:45:00"	0.0365733	0.0606259	0.1920153	0.2300166	0.2114494	0.3284028	0.3533572	0.3822967	0.3744572
