"TIMESTAMP"	"BulkEC_5cm"	"BulkEC_10cm"	"BulkEC_20cm"	"BulkEC_30cm"	"BulkEC_40cm"	"BulkEC_50cm"	"BulkEC_60cm"	"BulkEC_75cm"	"BulkEC_100cm"
"2025-04-22 22:30:00"	0.0090271	0.0096936	0.0292352	0.0688948	0.0705505	0.1038794	0.1416036	0.231653	0.350553
"2025-04-22 22:45:00"	0.0060414	0.0101605	0.0305893	0.0672051	0.0741764	0.1048006	0.1441406	0.2292168	0.3493444
"2025-04-22 23:00:00"	0.0072185	0.0099801	0.0286402	0.0663243	0.0712615	0.1046825	0.1408198	0.2314897	0.3528458
"2025-04-22 23:15:00"	0.0073381	0.0100419	0.030901	0.0676508	0.0719177	0.1050434	0.1419103	0.226719	0.3534949
"2025-04-22 23:30:00"	0.0059017	0.0081607	0.0317186	0.0683578	0.0702092	0.105867	0.1446653	0.2292621	0.3499478
"2025-04-22 23:45:00"	0.0079681	0.0114631	0.0284413	0.0692389	0.0720773	0.1032295	0.1448666	0.2298597	0.3460183
"2025-04-23 00:00:00"	0.0064284	0.0094713	0.0300748	0.0682253	0.0709316	0.1030992	0.1399768	0.230069	0.3546917
"2025-04-23 00:15:00"	0.0066497	0.0094126	0.0301903	0.0688098	0.0706928	0.1056352	0.143793	0.2293559	0.3508273
"2025-04-23 00:30:00"	0.0078252	0.0075421	0.0309309	0.0659642	0.0695644	0.1034638	0.1434613	0.2292738	0.3480009
"2025-04-23 00:45:00"	0.0064555	0.0066959	0.0297184	0.0677649	0.0694866	0.104644	0.1447719	0.2268519	0.3484809
"2025-04-23 01:00:00"	0.0085311	0.0099669	0.029232	0.0689815	0.0678675	0.1041596	0.1456022	0.2263718	0.3522297
"2025-04-23 01:15:00"	0.0074026	0.0095813	0.0330563	0.0675241	0.0680641	0.103188	0.1424312	0.2278834	0.3500257
"2025-04-23 01:30:00"	0.0084264	0.0067589	0.0300546	0.0647899	0.0684928	0.1043741	0.137557	0.2236016	0.3490258
"2025-04-23 01:45:00"	0.0085374	0.0092389	0.0287023	0.065892	0.0678796	0.1021543	0.1347222	0.227995	0.3517265
"2025-04-23 02:00:00"	0.008912	0.0091041	0.0281575	0.0673011	0.0680507	0.1062493	0.1398471	0.2282771	0.3509326
"2025-04-23 02:15:00"	0.0087867	0.0074386	0.0315584	0.0672103	0.0680172	0.1041218	0.1397588	0.2296263	0.352759
"2025-04-23 02:30:00"	0.0083202	0.0089225	0.0297648	0.0659708	0.0682372	0.1042552	0.1409602	0.22788	0.3538277
"2025-04-23 02:45:00"	0.0075568	0.0077123	0.0283428	0.065211	0.0673949	0.1070447	0.1372307	0.2291982	0.3504519
"2025-04-23 03:00:00"	0.0064684	0.0103614	0.0312368	0.0681313	0.0677213	0.1054844	0.1345838	0.2283304	0.3538342
"2025-04-23 03:15:00"	0.0073072	0.0079862	0.0312084	0.0658931	0.0687784	0.1051162	0.1372728	0.227452	0.348524
"2025-04-23 03:30:00"	0.0075365	0.0093333	0.0293132	0.0648902	0.0672491	0.1016054	0.1389271	0.2232833	0.3550878
"2025-04-23 03:45:00"	0.0061646	0.0092921	0.0298002	0.0658847	0.0676382	0.1044848	0.1362216	0.2239253	0.3519682
"2025-04-23 04:00:00"	0.0062828	0.0097555	0.0275227	0.0686734	0.0665945	0.1070386	0.1413249	0.2247069	0.3532783
