"TIMESTAMP"	"Temp_5cm"	"Temp_10cm"	"Temp_20cm"	"Temp_30cm"	"Temp_40cm"	"Temp_50cm"	"Temp_60cm"	"Temp_75cm"	"Temp_100cm"
"2025-04-22 23:45:00"	19.22827	20.88043	23.14721	24.0288	24.36923	24.52511	24.52511	24.58767	24.90216
"2025-04-23 00:00:00"	19.04016	20.73989	23.05728	23.96725	24.36923	24.49386	24.52511	24.58767	24.90216
"2025-04-23 00:15:00"	18.82629	20.57199	22.96759	23.93655	24.33816	24.49386	24.49386	24.58767	24.87057
"2025-04-23 00:30:00"	18.71984	20.43261	22.90792	23.90585	24.33816	24.49386	24.49386	24.58767	24.90216
"2025-04-23 00:45:00"	18.58715	20.34924	22.81857	23.81393	24.30709	24.49386	24.52511	24.58767	24.90216
"2025-04-23 01:00:00"	18.45492	20.21072	22.72949	23.81393	24.30709	24.46267	24.55636	24.58767	24.90216
"2025-04-23 01:15:00"	18.27053	20.07272	22.67025	23.75277	24.24505	24.46267	24.52511	24.58767	24.90216
"2025-04-23 01:30:00"	18.03479	19.90777	22.58157	23.69177	24.24505	24.46267	24.52511	24.58767	24.90216
"2025-04-23 01:45:00"	17.87841	19.82559	22.49304	23.69177	24.21405	24.43151	24.52511	24.58767	24.90216
"2025-04-23 02:00:00"	17.74853	19.68902	22.40478	23.63082	24.1831	24.46267	24.49386	24.55636	24.87057
"2025-04-23 02:15:00"	17.51586	19.52575	22.34603	23.57	24.15222	24.43151	24.52511	24.58767	24.90216
"2025-04-23 02:30:00"	17.28454	19.36322	22.25817	23.53964	24.15222	24.40036	24.46267	24.58767	24.90216
"2025-04-23 02:45:00"	17.20773	19.25518	22.1705	23.47894	24.12133	24.40036	24.49386	24.58767	24.90216
"2025-04-23 03:00:00"	17.05456	19.14752	22.08303	23.41842	24.05963	24.36923	24.49386	24.58767	24.90216
"2025-04-23 03:15:00"	16.92733	19.04016	21.99578	23.35797	24.05963	24.36923	24.49386	24.58767	24.90216
"2025-04-23 03:30:00"	16.80053	18.9331	21.93774	23.32778	24.0288	24.36923	24.49386	24.58767	24.90216
"2025-04-23 03:45:00"	16.67413	18.82629	21.82189	23.2976	23.96725	24.33816	24.49386	24.58767	24.90216
"2025-04-23 04:00:00"	16.62365	18.74642	21.76416	23.2073	23.96725	24.33816	24.49386	24.61895	24.90216
